"filename", "language", "C#", "XML", "JSON", "ASP.NET Razor", "CSS", "Properties", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\AnalysisModuletest.cs", "C#", 67, 0, 0, 0, 0, 0, 0, 0, 2, 13, 82
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\AnalysisServicetest.cs", "C#", 75, 0, 0, 0, 0, 0, 0, 0, 9, 20, 104
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\AnaysisModel.Tests.csproj", "XML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\GrowthPredictiontest.cs", "C#", 65, 0, 0, 0, 0, 0, 0, 0, 21, 26, 112
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\ROIPredictiontest.cs", "C#", 55, 0, 0, 0, 0, 0, 0, 0, 15, 15, 85
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\Reporttest.cs", "C#", 84, 0, 0, 0, 0, 0, 0, 0, 9, 16, 109
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\TestResults\05030151-ac10-4ce2-bdaf-5cb49ddbd5c3\coverage.cobertura.xml", "XML", 0, 1096, 0, 0, 0, 0, 0, 0, 0, 0, 1096
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\TestResults\4d03f7a5-b470-44a0-b648-0a3445bf6a32\coverage.cobertura.xml", "XML", 0, 1096, 0, 0, 0, 0, 0, 0, 0, 0, 1096
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\TestResults\57af37f3-07f6-4ce2-93f1-37bd40feb76a\coverage.cobertura.xml", "XML", 0, 1096, 0, 0, 0, 0, 0, 0, 0, 0, 1096
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\TestResults\9fa9b507-e9f5-42d8-bf7a-09572c37bf7e\coverage.cobertura.xml", "XML", 0, 1096, 0, 0, 0, 0, 0, 0, 0, 0, 1096
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\bin\Debug\net8.0\AnaysisModel.Tests.deps.json", "JSON", 0, 0, 593, 0, 0, 0, 0, 0, 0, 0, 593
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\bin\Debug\net8.0\AnaysisModel.Tests.runtimeconfig.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\bin\Debug\net8.0\AnaysisModel.deps.json", "JSON", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 86
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\bin\Debug\net8.0\AnaysisModel.runtimeconfig.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\bin\Debug\net8.0\AnaysisModel.staticwebassets.runtime.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\bin\Debug\net8.0\appsettings.Development.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\bin\Debug\net8.0\appsettings.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\obj\AnaysisModel.Tests.csproj.nuget.dgspec.json", "JSON", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 183
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\obj\AnaysisModel.Tests.csproj.nuget.g.props", "XML", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\obj\AnaysisModel.Tests.csproj.nuget.g.targets", "XML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\obj\Debug\net8.0\AnaysisModel.Tests.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 9, 5, 23
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\obj\Debug\net8.0\AnaysisModel.Tests.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\obj\Debug\net8.0\AnaysisModel.Tests.GlobalUsings.g.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\obj\Debug\net8.0\AnaysisModel.Tests.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel.Tests\obj\project.assets.json", "JSON", 0, 0, 1424, 0, 0, 0, 0, 0, 0, 0, 1424
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\AnalysisModule.cs", "C#", 53, 0, 0, 0, 0, 0, 0, 0, 6, 12, 71
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\AnalysisService.cs", "C#", 66, 0, 0, 0, 0, 0, 0, 0, 4, 13, 83
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\AnaysisModel.csproj", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\GrowthPrediction.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\IAnalysisModule.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\IPredictionEngine.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\Pages\Error.cshtml", "ASP.NET Razor", 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\Pages\Error.cshtml.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\Pages\Index.cshtml", "ASP.NET Razor", 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\Pages\Index.cshtml.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\Pages\Privacy.cshtml", "ASP.NET Razor", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\Pages\Privacy.cshtml.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\Ruix-Xuan Rao\Documents\OOAD\AnaysisModel\Pages\Shared\_Layout.cshtml", "ASP.NET Razor", 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
